sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR,Sequence
tpke11_long,tpke11_long_1,11910,11970,SNR__1.00,
tpke11_long,tpke11_long_2,12145,12205,SNR__0.00,
tpke11_long,tpke11_long_3,12330,12390,SNR__1.00,
tpke11_long,tpke11_long_4,12540,12600,SNR__0.50,
tpke11_long,tpke11_long_5,12735,12795,SNR__1.50,
tpke11_long,tpke11_long_6,12860,12920,SNR__1.00,
tpke11_long,tpke11_long_7,13030,13090,SNR__0.50,
tpke11_long,tpke11_long_8,13185,13245,SNR__0.25,
tpke11_long,tpke11_long_9,13490,13550,SNR__0.50,
tpke11_long,tpke11_long_10,13765,13825,SNR__0.25,
tpke11_long,tpke11_long_11,13860,13920,SNR__0.25,
tpke11_long,tpke11_long_12,13995,14055,SNR__0.25,
tpke11_long,tpke11_long_13,14150,14210,SNR__0.50,
tpke11,tpke11_1,13860,13920,SNR__0.25,
tpke11,tpke11_2,13995,14055,SNR__0.25,
tpke11,tpke11_3,14150,14210,SNR__0.50,
sokC,sokC_1,16870,16930,SNR__8.00,
sroA,sroA_1,75605,75665,SNR__2.50,
sroA,sroA_2,75745,75805,SNR__1.00,
sgrS,sgrS_1,77155,77215,SNR__0.25,
sgrS,sgrS_2,77515,77575,SNR__0.50,
tp2,tp2_1,122605,122665,SNR__0.50,
tp2,tp2_2,122865,122925,SNR__15.00,
tp2,tp2_3,122975,123035,SNR__15.00,
tff,tff_1,189500,189560,SNR__3.00,
tff,tff_2,189640,189700,SNR__3.50,
tff,tff_3,189835,189895,SNR__2.00,
eyeA,eyeA_1,272395,272455,SNR__0.00,
eyeA,eyeA_2,272650,272710,SNR__0.25,
nc1,nc1_1,297055,297115,SNR__1.50,
nc1,nc1_2,297190,297250,SNR__12.00,
nc1,nc1_3,297510,297570,SNR__1.00,
sraA,sraA_1,458735,458795,SNR__2.50,
sraA,sraA_2,458860,458920,SNR__1.00,
ffs,ffs_1,476305,476365,SNR__0.50,
ffs,ffs_2,476525,476585,SNR__0.25,
nc2_long,nc2_long_1,496975,497035,SNR__1.50,
nc2_long,nc2_long_2,497115,497175,SNR__0.50,
nc2_long,nc2_long_3,497225,497285,SNR__0.50,
nc2_long,nc2_long_4,497450,497510,SNR__2.00,
nc2_long,nc2_long_5,497645,497705,SNR__0.00,
nc2_long,nc2_long_6,497840,497900,SNR__0.25,
nc2,nc2_1,497645,497705,SNR__0.00,
nc2,nc2_2,497840,497900,SNR__0.25,
chiX,chiX_1,507015,507075,SNR__1.00,
chiX,chiX_2,507125,507185,SNR__2.50,
ipeX,ipeX_1,574275,574335,SNR__5.00,
ipeX,ipeX_2,574475,574535,SNR__2.50,
ipeX,ipeX_3,574660,574720,SNR__4.00,
sokE,sokE_1,607590,607650,SNR__2.00,
sokE,sokE_2,607810,607870,SNR__6.00,
sroC,sroC_1,686680,686740,SNR__0.50,
sroC,sroC_2,687000,687060,SNR__0.00,
sroC_long,sroC_long_1,686680,686740,SNR__0.50,
sroC_long,sroC_long_2,687000,687060,SNR__0.00,
sroC_long,sroC_long_3,687195,687255,SNR__1.00,
sroC_long,sroC_long_4,687285,687345,SNR__0.50,
sroC_long,sroC_long_5,687510,687620,SNR__0.00,
sroC_long,sroC_long_6,687765,687825,SNR__1.00,
sroC_long,sroC_long_7,687955,688015,SNR__8.00,
rybA,rybA_1,852740,852800,SNR__2.50,
rybA,rybA_2,852870,852930,SNR__1.00,
rybA,rybA_3,853055,853115,SNR__5.00,
rybB,rybB_1,887955,888015,SNR__0.00,
rybB,rybB_2,888105,888165,SNR__1.50,
psrD,psrD_1,1146380,1146440,SNR__0.25,
psrD,psrD_2,1146575,1146635,SNR__3.00,
psrD,psrD_3,1146725,1146785,SNR__0.50,
rdlA,rdlA_1,1269240,1269300,SNR__2.00,
rdlA,rdlA_2,1269375,1269435,SNR__0.25,
rdlB,rdlB_1,1269615,1269675,SNR__3.00,
rdlB,rdlB_2,1269790,1269965,SNR__3.00,
rdlC,rdlC_1,1270205,1270265,SNR__3.50,
rdlC,rdlC_2,1270335,1270395,SNR__8.00,
rttR,rttR_1,1287030,1287090,SNR__2.00,
rttR,rttR_2,1287265,1287325,SNR__0.50,
rttR,rttR_3,1287400,1287460,SNR__0.50,
mcaS,mcaS_1,1405620,1405680,SNR__1.00,
mcaS,mcaS_2,1405860,1405920,SNR__1.50,
fnrS,fnrS_1,1408995,1409055,SNR__7.00,
ralA,ralA_1,1413365,1413425,SNR__0.50,
ralA,ralA_2,1413505,1413565,SNR__10.00,
ralA,ralA_3,1413725,1413785,SNR__5.50,
micC,micC_1,1436880,1436940,SNR__2.00,
micC,micC_2,1437050,1437110,SNR__3.00,
micC,micC_3,1437220,1437280,SNR__2.00,
rydC,rydC_1,1491395,1491455,SNR__0.50,
rydC,rydC_2,1491645,1491705,SNR__12.00,
sokB,sokB_1,1492010,1492070,SNR__1.00,
sokB,sokB_2,1492140,1492200,SNR__0.25,
mgrR,mgrR_1,1622940,1623000,SNR__7.00,
dicF,dicF_1,1649125,1649185,SNR__0.50,
dicF,dicF_2,1649275,1649335,SNR__0.50,
rydB,rydB_1,1764785,1764845,SNR__3.00,
rydB,rydB_2,1764975,1765035,SNR__1.00,
rprA,rprA_1,1770175,1770235,SNR__1.50,
rprA,rprA_2,1770370,1770430,SNR__3.50,
sroD,sroD_1,1888095,1888155,SNR__1.00,
sroD,sroD_2,1888210,1888270,SNR__0.50,
sroD_long,sroD_long_1,1888095,1888155,SNR__1.00,
sroD_long,sroD_long_2,1888210,1888270,SNR__0.50,
sroD_long,sroD_long_3,1888360,1888420,SNR__0.50,
sroD_long,sroD_long_4,1888600,1888660,SNR__1.00,
sroD_long,sroD_long_5,1888775,1888835,SNR__0.50,
sroD_long,sroD_long_6,1888895,1888955,SNR__0.50,
sroD_long,sroD_long_7,1889020,1889080,SNR__0.50,
sroD_long,sroD_long_8,1889215,1889275,SNR__1.00,
sroD_long,sroD_long_9,1889320,1889380,SNR__1.00,
sroD_long,sroD_long_10,1889565,1889625,SNR__0.50,
sroD_long,sroD_long_11,1889790,1889850,SNR__1.00,
sroD_long,sroD_long_12,1889900,1889960,SNR__4.50,
ryeA,ryeA_1,1922885,1922945,SNR__0.50,
ryeA,ryeA_2,1922985,1923045,SNR__2.50,
ryeA,ryeA_3,1923180,1923240,SNR__0.50,
ryeA,ryeA_4,1923335,1923395,SNR__0.25,
sdsR,sdsR_1,1923180,1923240,SNR__0.50,
sdsR,sdsR_2,1923335,1923395,SNR__0.25,
micL,micL_1,1958400,1958460,SNR__0.50,
micL,micL_2,1958550,1958610,SNR__0.25,
micL_long,micL_long_1,1958400,1958460,SNR__0.50,
micL_long,micL_long_2,1958550,1958610,SNR__0.25,
micL_long,micL_long_3,1958850,1958910,SNR__3.00,
isrB,isrB_1,1987770,1987830,SNR__1.50,
isrB,isrB_2,1988015,1988075,SNR__2.50,
isrB,isrB_3,1988205,1988265,SNR__0.00,
3ETSleuz,3ETSleuz_1,1991770,1991830,SNR__8.00,
3ETSleuz,3ETSleuz_2,1991970,1992030,SNR__0.50,
3ETSleuZ_long,3ETSleuZ_long_1,1991770,1991830,SNR__8.00,
3ETSleuZ_long,3ETSleuZ_long_2,1991970,1992030,SNR__0.50,
3ETSleuZ_long,3ETSleuZ_long_3,1992110,1992170,SNR__0.50,
3ETSleuZ_long,3ETSleuZ_long_4,1992210,1992270,SNR__4.00,
3ETSleuZ_long,3ETSleuZ_long_5,1992340,1992400,SNR__1.00,
sdsN_long,sdsN_long_1,1996660,1996720,SNR__0.25,
sdsN_long,sdsN_long_2,1996860,1996920,SNR__1.00,
sdsN_long,sdsN_long_3,1997035,1997095,SNR__1.00,
sdsN,sdsN_1,1996660,1996720,SNR__0.25,
sdsN,sdsN_2,1996860,1996920,SNR__1.00,
sdsN,sdsN_3,1997035,1997095,SNR__1.00,
dsrA,dsrA_1,2025170,2025230,SNR__0.25,
dsrA,dsrA_2,2025335,2025395,SNR__4.00,
dsrA,dsrA_3,2025490,2025550,SNR__0.50,
rseX,rseX_1,2033450,2033510,SNR__1.50,
rseX,rseX_2,2033635,2033695,SNR__3.50,
rseX,rseX_3,2033735,2033860,SNR__7.00,
isrC,isrC_1,2071080,2071140,SNR__0.50,
isrC,isrC_2,2071310,2071370,SNR__4.50,
isrC,isrC_3,2071550,2071610,SNR__0.00,
sibA,sibA_1,2153125,2153185,SNR__2.00,
sibA,sibA_2,2153240,2153300,SNR__2.00,
sibA,sibA_3,2153375,2153435,SNR__1.50,
sibB,sibB_1,2153575,2153635,SNR__5.00,
sibB,sibB_2,2153700,2153760,SNR__1.50,
cyaR,cyaR_1,2167060,2167120,SNR__1.50,
cyaR,cyaR_2,2167195,2167255,SNR__6.00,
micF,micF_1,2312855,2312915,SNR__4.00,
micF,micF_2,2312990,2313050,SNR__6.00,
micF,micF_3,2313205,2313265,SNR__1.00,
ryeG,ryeG_1,2470535,2470595,SNR__0.00,
ryeG,ryeG_2,2470675,2470735,SNR__3.00,
tpke70,tpke70_1,2496285,2496345,SNR__0.00,
tpke70,tpke70_2,2496630,2496690,SNR__2.50,
sroE,sroE_1,2640660,2640720,SNR__0.50,
sroE,sroE_2,2640880,2640940,SNR__1.50,
sroE_long,sroE_long_1,2640660,2640720,SNR__0.50,
sroE_long,sroE_long_2,2640880,2640940,SNR__1.50,
sroE_long,sroE_long_3,2641035,2641095,SNR__1.00,
sroE_long,sroE_long_4,2641180,2641240,SNR__1.50,
sroE_long,sroE_long_5,2641450,2641510,SNR__2.00,
sroE_long,sroE_long_6,2641750,2641810,SNR__2.50,
sroE_long,sroE_long_7,2641880,2641940,SNR__1.00,
sroE_long,sroE_long_8,2642045,2642105,SNR__0.50,
ryfA,ryfA_1,2653610,2653670,SNR__2.50,
ryfA,ryfA_2,2653800,2653860,SNR__2.50,
ryfA,ryfA_3,2653995,2654055,SNR__1.50,
ryfA,ryfA_4,2654120,2654180,SNR__2.50,
glmY,glmY_1,2691130,2691190,SNR__3.50,
glmY,glmY_2,2691320,2691415,SNR__2.00,
glmY,glmY_3,2691445,2691505,SNR__2.50,
ryfB,ryfB_1,2700000,2700060,SNR__4.50,
ryfB,ryfB_2,2700160,2700220,SNR__2.00,
ryfB,ryfB_3,2700445,2700505,SNR__5.50,
ryfB,ryfB_4,2700555,2700615,SNR__3.00,
ohsC,ohsC_1,2700445,2700505,SNR__5.50,
ohsC,ohsC_2,2700555,2700615,SNR__3.00,
ryfD,ryfD_1,2734295,2734355,SNR__1.00,
ssrA_long,ssrA_long_1,2755470,2755530,SNR__3.00,
ssrA_long,ssrA_long_2,2755910,2755970,SNR__40.00,
ssrA,ssrA_1,2755470,2755530,SNR__3.00,
ssrA,ssrA_2,2755910,2755970,SNR__40.00,
micA,micA_1,2814715,2814775,SNR__1.00,
micA,micA_2,2814900,2814960,SNR__0.25,
sokX,sokX_1,2887195,2887255,SNR__6.00,
csrB,csrB_1,2924125,2924185,SNR__0.50,
csrB,csrB_2,2924250,2924310,SNR__0.50,
csrB,csrB_3,2924380,2924440,SNR__0.00,
csrB,csrB_4,2924570,2924630,SNR__3.00,
csrB,csrB_5,2924705,2924765,SNR__1.00,
gcvB,gcvB_1,2942585,2942645,SNR__3.50,
gcvB,gcvB_2,2942835,2942895,SNR__0.50,
omrA,omrA_1,2976035,2976095,SNR__0.25,
omrA,omrA_2,2976155,2976215,SNR__1.50,
omrA,omrA_3,2976345,2976405,SNR__2.00,
omrB,omrB_1,2976345,2976405,SNR__2.00,
omrB,omrB_2,2976555,2976615,SNR__1.00,
ssrS_long,ssrS_long_1,3055890,3055950,SNR__0.50,
ssrS_long,ssrS_long_2,3056075,3056135,SNR__0.00,
ssrS_long,ssrS_long_3,3056195,3056255,SNR__0.50,
ssrS,ssrS_1,3055890,3055950,SNR__0.50,
ssrS,ssrS_2,3056075,3056135,SNR__0.00,
ssrS,ssrS_3,3056195,3056255,SNR__0.50,
sibC,sibC_1,3056650,3056710,SNR__0.25,
sibC,sibC_2,3056780,3056840,SNR__2.50,
sibC,sibC_3,3056890,3056950,SNR__1.50,
sibC,sibC_4,3057015,3057075,SNR__1.00,
och5,och5_1,3066925,3066985,SNR__2.50,
och5,och5_2,3067120,3067180,SNR__1.50,
och5,och5_3,3067305,3067365,SNR__1.00,
sroG,sroG_1,3184740,3184800,SNR__2.50,
