sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR,Sequence
tpke11_long,tpke11_long_1,11915,11975,SNR__0.50,
tpke11_long,tpke11_long_2,12060,12120,SNR__0.25,
tpke11_long,tpke11_long_3,12190,12250,SNR__0.50,
tpke11_long,tpke11_long_4,12330,12390,SNR__1.00,
tpke11_long,tpke11_long_5,12525,12585,SNR__1.00,
tpke11_long,tpke11_long_6,12680,12740,SNR__0.50,
tpke11_long,tpke11_long_7,12860,12920,SNR__1.50,
tpke11_long,tpke11_long_8,12985,13045,SNR__0.25,
tpke11_long,tpke11_long_9,13110,13170,SNR__0.50,
tpke11_long,tpke11_long_10,13210,13270,SNR__0.50,
tpke11_long,tpke11_long_11,13315,13375,SNR__0.50,
tpke11_long,tpke11_long_12,13505,13565,SNR__0.50,
tpke11_long,tpke11_long_13,13640,13700,SNR__0.25,
tpke11_long,tpke11_long_14,13835,13895,SNR__0.50,
tpke11_long,tpke11_long_15,14045,14105,SNR__0.50,
tpke11_long,tpke11_long_16,14145,14195,SNR__0.50,
tpke11,tpke11_1,13835,13895,SNR__0.50,
tpke11,tpke11_2,14045,14105,SNR__0.50,
tpke11,tpke11_3,14145,14195,SNR__0.50,
sokC,sokC_1,16880,16940,SNR__4.00,
sroA,sroA_1,75520,75525,SNR__0.00,
sroA,sroA_2,75595,75655,SNR__0.50,
sroA,sroA_3,75715,75775,SNR__0.50,
sgrS,sgrS_1,77145,77205,SNR__0.25,
sgrS,sgrS_2,77315,77375,SNR__1.50,
sgrS,sgrS_3,77510,77570,SNR__0.25,
sgrS,sgrS_4,77610,77620,SNR__0.00,
tp2,tp2_1,122870,123025,SNR__8.00,
tff,tff_1,189480,189540,SNR__2.00,
tff,tff_2,189630,189690,SNR__0.50,
tff,tff_3,189820,189875,SNR__2.00,
eyeA,eyeA_1,272400,272460,SNR__0.50,
eyeA,eyeA_2,272535,272595,SNR__0.00,
nc1,nc1_1,297175,297235,SNR__25.00,
sraA,sraA_1,458730,458740,SNR__0.50,
sraA,sraA_2,458880,458940,SNR__1.00,
ffs,ffs_1,476385,476445,SNR__0.50,
ffs,ffs_2,476580,476590,SNR__0.00,
nc2_long,nc2_long_1,497010,497070,SNR__0.50,
nc2_long,nc2_long_2,497130,497190,SNR__0.25,
nc2_long,nc2_long_3,497230,497290,SNR__0.50,
nc2_long,nc2_long_4,497460,497520,SNR__3.00,
nc2_long,nc2_long_5,497690,497750,SNR__0.50,
nc2,nc2_1,497690,497750,SNR__0.50,
chiX,chiX_1,507030,507090,SNR__4.50,
chiX,chiX_2,507155,507215,SNR__2.50,
chiX,chiX_3,507305,507315,SNR__0.50,
ipeX,ipeX_1,574385,574445,SNR__1.50,
ipeX,ipeX_2,574485,574545,SNR__0.50,
ipeX,ipeX_3,574695,574730,SNR__12.00,
sokE,sokE_1,607575,607635,SNR__1.00,
sokE,sokE_2,607820,607820,SNR__2.00,
sroC,sroC_1,686685,686700,SNR__1.00,
sroC,sroC_2,686830,686890,SNR__0.50,
sroC,sroC_3,686990,687040,SNR__0.50,
sroC,sroC_long_1,686685,686700,SNR__1.00,
sroC_long,sroC_long_2,686830,686890,SNR__0.50,
sroC_long,sroC_long_3,686990,687050,SNR__0.50,
sroC_long,sroC_long_4,687195,687255,SNR__1.00,
sroC_long,sroC_long_5,687290,687350,SNR__0.25,
sroC_long,sroC_long_6,687460,687520,SNR__0.25,
sroC_long,sroC_long_7,687560,687620,SNR__0.00,
sroC_long,sroC_long_8,687725,687785,SNR__0.50,
sroC_long,sroC_long_9,687905,687965,SNR__4.00,
rybA,rybA_1,852815,852875,SNR__0.00,
rybA,rybA_2,853070,853130,SNR__3.50,
rybB,rybB_1,888065,888125,SNR__1.00,
rybB,rybB_2,888215,888255,SNR__2.50,
psrD,psrD_1,1146370,1146430,SNR__0.25,
psrD,psrD_2,1146540,1146600,SNR__0.50,
psrD,psrD_3,1146745,1146785,SNR__0.50,
rdlA,rdlA_1,1269120,1269180,SNR__5.00,
rdlA,rdlA_2,1269305,1269365,SNR__0.50,
rdlB,rdlB_1,1269625,1269685,SNR__2.00,
rdlB,rdlB_2,1269745,1269805,SNR__0.50,
rdlC,rdlC_1,1270320,1270380,SNR__15.00,
rttR,rttR_1,1287075,1287135,SNR__0.50,
rttR,rttR_2,1287180,1287240,SNR__1.00,
rttR,rttR_3,1287345,1287405,SNR__0.00,
mcaS,mcaS_1,1405645,1405705,SNR__1.00,
mcaS,mcaS_2,1405815,1405875,SNR__1.50,
fnrS,fnrS_1,1409000,1409060,SNR__15.00,
fnrS,fnrS_2,1409275,1409280,SNR__1.00,
ralA,ralA_1,1413390,1413450,SNR__0.00,
ralA,ralA_2,1413500,1413560,SNR__4.50,
ralA,ralA_3,1413725,1413760,SNR__6.00,
micC,micC_1,1436880,1436940,SNR__2.50,
micC,micC_2,1436990,1437050,SNR__1.50,
micC,micC_3,1437110,1437170,SNR__1.00,
micC,micC_4,1437225,1437255,SNR__2.50,
rydC,rydC_1,1491445,1491450,SNR__0.50,
rydC,rydC_2,1491630,1491690,SNR__3.50,
sokB,sokB_1,1492040,1492100,SNR__1.50,
sokB,sokB_2,1492190,1492200,SNR__0.00,
mgrR,mgrR_1,1622880,1622940,SNR__1.50,
mgrR,mgrR_2,1623100,1623110,SNR__0.25,
dicF,dicF_1,1649270,1649330,SNR__0.25,
rydB,rydB_1,1764710,1764770,SNR__2.50,
rydB,rydB_2,1764810,1764870,SNR__4.00,
rydB,rydB_3,1764975,1764980,SNR__0.50,
rprA,rprA_1,1770210,1770270,SNR__1.50,
rprA,rprA_2,1770370,1770430,SNR__8.00,
sroD,sroD_1,1888020,1888025,SNR__0.50,
sroD,sroD_2,1888115,1888175,SNR__0.50,
sroD_long,sroD_long_1,1888020,1888025,SNR__0.50,
sroD_long,sroD_long_2,1888115,1888175,SNR__0.50,
sroD_long,sroD_long_3,1888335,1888395,SNR__0.00,
sroD_long,sroD_long_4,1888615,1888675,SNR__0.25,
sroD_long,sroD_long_5,1888770,1888830,SNR__0.50,
sroD_long,sroD_long_6,1888895,1888955,SNR__0.25,
sroD_long,sroD_long_7,1889015,1889075,SNR__0.25,
sroD_long,sroD_long_8,1889115,1889175,SNR__0.00,
sroD_long,sroD_long_9,1889300,1889360,SNR__3.50,
sroD_long,sroD_long_10,1889400,1889460,SNR__1.00,
sroD_long,sroD_long_11,1889575,1889635,SNR__0.00,
sroD_long,sroD_long_12,1889750,1889810,SNR__0.25,
sroD_long,sroD_long_13,1889920,1889980,SNR__2.00,
ryeA,ryeA_1,1922905,1922965,SNR__1.00,
ryeA,ryeA_2,1923010,1923070,SNR__2.50,
ryeA,ryeA_3,1923210,1923270,SNR__1.50,
sdsR,sdsR_1,1923210,1923270,SNR__1.50,
micL,micL_1,1958480,1958540,SNR__0.50,
micL,micL_2,1958645,1958705,SNR__1.50,
micL_long,micL_long_1,1958480,1958540,SNR__0.50,
micL_long,micL_long_2,1958645,1958705,SNR__1.50,
micL_long,micL_long_3,1958855,1958915,SNR__5.50,
isrB,isrB_1,1987885,1987945,SNR__2.00,
isrB,isrB_2,1988025,1988085,SNR__2.50,
3ETSleuz,3ETSleuz_1,1991775,1991835,SNR__6.00,
3ETSleuZ_long,3ETSleuZ_long_1,1991775,1991835,SNR__6.00,
3ETSleuZ_long,3ETSleuZ_long_2,1992115,1992175,SNR__3.00,
3ETSleuZ_long,3ETSleuZ_long_3,1992340,1992380,SNR__0.25,
sdsN_long,sdsN_long_1,1996645,1996705,SNR__0.50,
sdsN_long,sdsN_long_2,1996880,1996940,SNR__4.00,
sdsN_long,sdsN_long_3,1997030,1997085,SNR__0.50,
sdsN,sdsN_1,1996880,1996940,SNR__4.00,
sdsN,sdsN_2,1997030,1997085,SNR__0.50,
dsrA,dsrA_1,2025345,2025405,SNR__1.50,
dsrA,dsrA_2,2025505,2025510,SNR__0.25,
rseX,rseX_1,2033485,2033545,SNR__1.50,
rseX,rseX_2,2033600,2033660,SNR__4.00,
isrC,isrC_1,2071085,2071145,SNR__0.00,
isrC,isrC_2,2071310,2071370,SNR__15.00,
sibA,sibA_1,2153130,2153190,SNR__1.00,
