UTR Name,Direction,Left Coord,Right Coord
thrL,F,1,289
thrA,F,137,436
thrB,F,2601,2900
thrC,F,3534,3833
yaaX,F,5034,5333
yaaA,R,6360,6659
yaaJ,R,7860,8159
talB,F,8038,8337
mog,F,9106,9405
satP,R,10395,10694
yaaW,R,11257,11556
yaaI,R,11687,11986
dnaK,F,11963,12262
dnaJ,F,13968,14267
insL1,F,15245,15544
mokC,R,16861,17160
hokC,R,16804,17103
nhaA,F,17289,17588
nhaR,F,18515,18814
insB1,R,20215,20514
b0022,R,20409,20708
rpsT,R,20979,21278
yaaY,F,20981,21280
ribF,F,21207,21506
ileS,F,22191,22490
lspA,F,25007,25306
fkpB,F,25626,25925
ispH,F,26077,26376
rihC,F,27093,27392
dapB,F,28174,28473
carA,F,29451,29750
carB,F,30617,30916
caiF,F,34100,34399
caiE,R,35272,35571
caiD,R,36063,36362
caiC,R,37725,38024
caiB,R,39016,39315
caiA,R,40287,40586
caiT,R,41832,42131
fixA,F,42203,42502
fixB,F,42988,43287
fixC,F,43980,44279
fixX,F,45263,45562
yaaU,F,45607,45906
kefF,F,47046,47345
kefC,F,47569,47868
folA,F,49623,49922
apaH,R,51123,51422
apaG,R,51507,51806
rsmA,R,52331,52630
pdxA,R,53317,53616
surA,R,54603,54902
lptD,R,57010,57309
djlA,F,57164,57463
yabP,F,58274,58573
rluA,R,60247,60546
rapA,R,63165,63464
polB,R,65681,65980
araD,R,66451,66750
araA,R,68238,68537
araB,R,69949,70248
araC,F,70187,70486
yabI,F,71151,71450
thiQ,R,72828,73127
thiP,R,74422,74721
thiB,R,75381,75680
sgrR,R,77200,77499
sgrT,F,77188,77487
setA,F,77421,77720
leuD,R,79354,79653
leuC,R,80765,81064
leuB,R,81859,82158
leuA,R,83430,83729
leuL,R,83609,83908
leuO,F,84168,84467
ilvI,F,85430,85729
ilvH,F,87157,87456
cra,F,87828,88127
mraZ,F,89434,89733
rsmH,F,89894,90193
ftsL,F,90832,91131
ftsI,F,91213,91512
murE,F,92966,93265
murF,F,94450,94749
mraY,F,95802,96101
murD,F,96887,97186
ftsW,F,98203,98502
murG,F,99444,99743
murC,F,100565,100864
ddlB,F,102033,102332
ftsQ,F,102955,103254
ftsA,F,103782,104081
ftsZ,F,105105,105404
lpxC,F,106357,106656
secM,F,107505,107804
secA,F,108079,108378
mutT,F,110844,111143
yacG,R,111747,112046
zapD,R,112500,112799
coaE,R,113120,113419
guaC,F,113244,113543
hofC,R,115625,115924
hofB,R,117000,117299
ppdD,R,117450,117749
nadC,R,118546,118845
ampD,F,118533,118832
ampE,F,119081,119380
aroP,R,121452,121751
pdhR,F,121892,122191
aceE,F,122817,123116
aceF,F,125495,125794
lpd,F,127712,128011
yacH,R,131161,131460
acnB,F,131415,131714
yacL,F,134188,134487
speD,R,135483,135782
speE,R,136365,136664
yacC,R,136818,137117
cueO,F,136883,137182
gcd,R,141126,141425
hpt,F,141231,141530
can,R,142571,142870
yadG,F,142579,142878
yadH,F,143502,143801
yadI,F,144377,144676
yadE,F,144881,145180
panD,R,146595,146894
yadD,F,146768,147067
panC,R,148696,148995
panB,R,149502,149801
yadC,R,150854,151153
yadK,R,151500,151799
yadL,R,152132,152431
