sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR,Sequence
tpke11_long,tpke11_long_1,12055,12115,SNR__0.00,
tpke11_long,tpke11_long_2,12300,12360,SNR__0.25,
tpke11_long,tpke11_long_3,12415,12475,SNR__0.50,
tpke11_long,tpke11_long_4,12540,12600,SNR__0.50,
tpke11_long,tpke11_long_5,12725,12785,SNR__2.00,
tpke11_long,tpke11_long_6,12860,12920,SNR__1.00,
tpke11_long,tpke11_long_7,13080,13140,SNR__0.50,
tpke11_long,tpke11_long_8,13300,13360,SNR__0.25,
tpke11_long,tpke11_long_9,13500,13560,SNR__0.50,
tpke11_long,tpke11_long_10,13580,13640,SNR__0.50,
tpke11_long,tpke11_long_11,13780,13840,SNR__0.50,
tpke11_long,tpke11_long_12,14050,14110,SNR__1.00,
tpke11,tpke11_1,14050,14110,SNR__1.00,
sokC,sokC_1,16860,16920,SNR__1.50,
sokC,sokC_2,17025,17085,SNR__0.25,
sroA,sroA_1,75455,75515,SNR__0.50,
sroA,sroA_2,75575,75635,SNR__0.50,
sroA,sroA_3,75695,75755,SNR__3.00,
sgrS,sgrS_1,77145,77205,SNR__1.00,
sgrS,sgrS_2,77260,77320,SNR__0.50,
sgrS,sgrS_3,77405,77465,SNR__0.50,
sgrS,sgrS_4,77525,77585,SNR__1.50,
tp2,tp2_1,122670,122730,SNR__0.50,
tp2,tp2_2,122860,122920,SNR__25.00,
tp2,tp2_3,122970,123030,SNR__25.00,
tff,tff_1,189510,189570,SNR__2.50,
tff,tff_2,189645,189705,SNR__2.00,
tff,tff_3,189820,189880,SNR__1.50,
eyeA,eyeA_1,272595,272655,SNR__0.00,
nc1,nc1_1,297225,297285,SNR__15.00,
nc1,nc1_2,297405,297465,SNR__1.00,
nc1,nc1_3,297510,297570,SNR__1.00,
sraA,sraA_1,458745,458805,SNR__0.50,
sraA,sraA_2,458905,458965,SNR__0.50,
ffs,ffs_1,476325,476385,SNR__0.25,
ffs,ffs_2,476525,476585,SNR__0.25,
nc2_long,nc2_long_1,496990,497050,SNR__1.50,
nc2_long,nc2_long_2,497110,497170,SNR__0.25,
nc2_long,nc2_long_3,497235,497295,SNR__0.50,
nc2_long,nc2_long_4,497405,497465,SNR__1.00,
nc2_long,nc2_long_5,497635,497695,SNR__0.50,
nc2_long,nc2_long_6,497820,497880,SNR__1.00,
nc2,nc2_1,497635,497695,SNR__0.50,
nc2,nc2_2,497820,497880,SNR__1.00,
chiX,chiX_1,506955,507015,SNR__0.50,
chiX,chiX_2,507120,507180,SNR__2.50,
ipeX,ipeX_1,574310,574370,SNR__5.00,
ipeX,ipeX_2,574645,574705,SNR__7.00,
sokE,sokE_1,607580,607640,SNR__1.50,
sokE,sokE_2,607705,607765,SNR__2.50,
sokE,sokE_3,607815,607875,SNR__6.00,
sroC,sroC_1,686645,686705,SNR__2.50,
sroC,sroC_2,686995,687055,SNR__1.00,
sroC_long,sroC_long_1,686645,686705,SNR__2.50,
sroC_long,sroC_long_2,686995,687055,SNR__1.00,
sroC_long,sroC_long_3,687195,687255,SNR__1.00,
