sRNA,sRNA_Peak,L_Coord,R_Coord,LastSNR
Tpke11,Tpke11_1,13835,13895,peak_0.5snr
Tpke11,Tpke11_2,14045,14105,peak_0.5snr
Tpke11,Tpke11_3,14145,14205,peak_0.5snr
sokC,sokC_1,16605,16665,peak_3.0snr
sokC,sokC_2,16880,16940,peak_4.0snr
SroA,SroA_1,75465,75525,peak_0.0snr
SroA,SroA_2,75595,75655,peak_0.5snr
SroA,SroA_3,75715,75775,peak_0.5snr
sgrS,sgrS_1,77005,77065,peak_0.5snr
sgrS,sgrS_2,77145,77205,peak_0.25snr
sgrS,sgrS_3,77315,77375,peak_1.5snr
sgrS,sgrS_4,77510,77570,peak_0.25snr
sgrS,sgrS_5,77610,77690,peak_0.0snr
Tp2,Tp2_1,122870,123025,peak_8.0snr
tff,tff_1,189480,189540,peak_2.0snr
tff,tff_2,189630,189690,peak_0.5snr
tff,tff_3,189820,189880,peak_2.0snr
eyeA,eyeA_1,272225,272285,peak_0.0snr
eyeA,eyeA_2,272400,272460,peak_0.5snr
eyeA,eyeA_3,272535,272595,peak_0.0snr
nc1,nc1_1,297175,297235,peak_25.0snr
nc1,nc1_2,297590,297600,peak_0.5snr
SraA,SraA_1,458680,458740,peak_0.5snr
SraA,SraA_2,458880,458940,peak_1.0snr
ffs,ffs_1,476180,476240,peak_0.5snr
ffs,ffs_2,476385,476445,peak_0.5snr
ffs,ffs_3,476580,476640,peak_0.0snr
Nc2,Nc2_1,497460,497520,peak_3.0snr
Nc2,Nc2_2,497690,497750,peak_0.5snr
Nc2,Nc2_3,497990,498045,peak_3.0snr
chiX,chiX_1,507030,507090,peak_4.5snr
chiX,chiX_2,507155,507215,peak_2.5snr
chiX,chiX_3,507305,507365,peak_0.5snr
IpeX,IpeX_1,574385,574445,peak_1.5snr
IpeX,IpeX_2,574485,574545,peak_0.5snr
IpeX,IpeX_3,574695,574755,peak_12.0snr
sokE,sokE_1,607395,607455,peak_0.5snr
sokE,sokE_2,607575,607635,peak_1.0snr
sokE,sokE_3,607820,607880,peak_2.0snr
SroC,SroC_1,686640,686700,peak_1.0snr
SroC,SroC_2,686830,686890,peak_0.5snr
SroC,SroC_3,686990,687050,peak_0.5snr
RybA,RybA_1,852815,852875,peak_0.0snr
RybA,RybA_2,853070,853130,peak_3.5snr
rybB,rybB_1,887880,887940,peak_1.0snr
rybB,rybB_2,888065,888125,peak_1.0snr
rybB,rybB_3,888215,888275,peak_2.5snr
rybB,rybB_4,888305,888355,peak_1.0snr
psrD,psrD_1,1146230,1146290,peak_0.25snr
psrD,psrD_2,1146370,1146430,peak_0.25snr
psrD,psrD_3,1146540,1146600,peak_0.5snr
psrD,psrD_4,1146745,1146805,peak_0.5snr
rdlA,rdlA_1,1269010,1269070,peak_3.5snr
rdlA,rdlA_2,1269120,1269180,peak_5.0snr
rdlA,rdlA_3,1269305,1269365,peak_0.5snr
rdlA,rdlA_4,1269480,1269485,peak_0.5snr
rdlB,rdlB_1,1269625,1269685,peak_2.0snr
rdlB,rdlB_2,1269745,1269805,peak_0.5snr
rdlB,rdlB_3,1270010,1270020,peak_1.0snr
rdlC,rdlC_1,1270320,1270380,peak_15.0snr
rdlC,rdlC_2,1270545,1270560,peak_1.5snr
rttR,rttR_1,1287075,1287135,peak_0.5snr
rttR,rttR_2,1287180,1287240,peak_1.0snr
rttR,rttR_3,1287345,1287405,peak_0.0snr
mcaS,mcaS_1,1405645,1405705,peak_1.0snr
mcaS,mcaS_2,1405815,1405875,peak_1.5snr
fnrS,fnrS_1,1408845,1408905,peak_3.0snr
fnrS,fnrS_2,1409000,1409060,peak_15.0snr
fnrS,fnrS_3,1409275,1409335,peak_1.0snr
ralA,ralA_1,1413175,1413280,peak_3.5snr
ralA,ralA_2,1413390,1413450,peak_0.0snr
ralA,ralA_3,1413500,1413560,peak_4.5snr
ralA,ralA_4,1413725,1413785,peak_6.0snr
micC,micC_1,1436770,1436830,peak_5.0snr
micC,micC_2,1436880,1436940,peak_2.5snr
micC,micC_3,1436990,1437050,peak_1.5snr
micC,micC_4,1437110,1437170,peak_1.0snr
micC,micC_5,1437225,1437285,peak_2.5snr
rydC,rydC_1,1491390,1491450,peak_0.5snr
rydC,rydC_2,1491630,1491690,peak_3.5snr
sokB,sokB_1,1491815,1491875,peak_1.0snr
sokB,sokB_2,1492040,1492100,peak_1.5snr
sokB,sokB_3,1492190,1492250,peak_0.0snr
mgrR,mgrR_1,1622880,1622940,peak_1.5snr
mgrR,mgrR_2,1623100,1623190,peak_0.25snr
dicF,dicF_1,1649025,1649085,peak_1.5snr
dicF,dicF_2,1649270,1649330,peak_0.25snr
dicF,dicF_3,1649495,1649530,peak_3.5snr
rydB,rydB_1,1764710,1764770,peak_2.5snr
rydB,rydB_2,1764810,1764870,peak_4.0snr
rydB,rydB_3,1764975,1765035,peak_0.5snr
rprA,rprA_1,1770020,1770080,peak_0.25snr
rprA,rprA_2,1770210,1770270,peak_1.5snr
rprA,rprA_3,1770370,1770430,peak_8.0snr
rprA,rprA_4,1770560,1770575,peak_3.0snr
SroD,SroD_1,1887965,1888025,peak_0.5snr
SroD,SroD_2,1888115,1888175,peak_0.5snr
SroD,SroD_3,1888335,1888395,peak_0.0snr
ryeA,ryeA_1,1922720,1922780,peak_1.0snr
ryeA,ryeA_2,1922905,1922965,peak_1.0snr
ryeA,ryeA_3,1923010,1923070,peak_2.5snr
ryeA,ryeA_4,1923210,1923270,peak_1.5snr
sdsR,sdsR_1,1923010,1923070,peak_2.5snr
sdsR,sdsR_2,1923210,1923270,peak_1.5snr
sdsR,sdsR_3,1923490,1923505,peak_0.5snr
RyeF,RyeF_1,1958115,1958175,peak_1.5snr
RyeF,RyeF_2,1958230,1958290,peak_3.0snr
RyeF,RyeF_3,1958480,1958540,peak_0.5snr
RyeF,RyeF_4,1958645,1958705,peak_1.5snr
